{{Short description|Municipality of Pernambuco, Brazil}}
| population_density_blank2_km2 = 
| population_density_blank2_sq_mi = 
| population_demonym = <!-- demonym, e.g. Liverpudlian for someone from Liverpool -->
| population_note = <!-- demographics (section 1) -->
| demographics_type1 = 
| demographics1_footnotes = <!-- for references: use <ref> tags -->
| demographics1_title1 = 
| demographics1_info1 = <!-- etc., up to demographics1_title5 / demographics1_info5 -->
<!-- demographics (section 2) -->| demographics_type2 = 
| demographics2_footnotes = <!-- for references: use <ref> tags -->
| demographics2_title1 = 
| demographics2_info1 = <!-- etc., up to demographics2_title5 / demographics2_info5 -->
<!-- time zone(s) -------------->| timezone1 = [[Time in Brazil|BRT]]
| utc_offset1 = &minus;3
| timezone1_DST = 
| utc_offset1_DST = 
| timezone2 = 
| utc_offset2 = 
| timezone2_DST = 
| utc_offset2_DST = <!-- postal codes, area code --->
| postal_code_type = <!-- enter ZIP code, Postcode, Post code, Postal code... -->
| postal_code = 
| postal2_code_type = <!-- enter ZIP code, Postcode, Post code, Postal code... -->
| postal2_code = 
| area_code_type = <!-- defaults to: Area code(s) -->
| area_code = 
| geocode = 
| iso_code = 
| registration_plate = <!-- twin cities --------------->
| twin1 = 
| twin1_country = 
| twin2 = 
| twin2_country = <!-- etc., up to twin9 / twin9_country -->
<!-- blank fields (section 1) -->| blank_name_sec1 = 
| blank_info_sec1 = 
| blank1_name_sec1 = 
| blank1_info_sec1 = 
| blank2_name_sec1 = 
| blank2_info_sec1 = <!-- etc., up to blank7_name_sec1 / blank7_info_sec1 -->
<!-- blank fields (section 2) -->| blank_name_sec2 = 
| blank_info_sec2 = 
| blank1_name_sec2 = 
| blank1_info_sec2 = 
| blank2_name_sec2 = 
| blank2_info_sec2 = <!-- etc., up to blank7_name_sec2 / blank7_info_sec2 -->
<!-- website, footnotes -------->| website = <!-- {{URL|example.com}} -->
| footnotes = 
}}

'''Feira Nova''' ({{IPA|<small>Central northeastern portuguese pronunciation: </small>[ˈfeɾɐ ˈnɔvɐ]}}) is a city in northeastern [[Brazil]], in the State of [[Pernambuco]]. According with [[Brazilian Institute of Geography and Statistics|IBGE]], has an estimated population of 21,427 inhabitants ([[2022 Brazilian Census|2022 Census]]).<ref name="IBGE" />

==Geography==

* State - [[Pernambuco]]
* Region - [[Agreste|Agreste Pernambucano]]
* Boundaries - [[Limoeiro]]  ('''N'''); [[Glória do Goitá]]  ('''S''');  [[Passira]]  ('''W''');  [[Lagoa do Itaenga]]  ('''E''')
* Area - 107.75&nbsp;km<sup>2</sup>
* Elevation - 154 m
* Hydrography - [[Capibaribe River|Capibaribe]] river
* Vegetation - [[Caducifólia]] forest
* Climate - tropical hot and humid
* Distance to [[Recife]] - 78&nbsp;km

==Economy==

The main economic activities in '''Feira Nova''' are based in [[agribusiness]], especially [[manioc]], [[sugarcane]] and [[cattle]] and their [[milk]].

===Economic Indicators===
{| class="wikitable" border="1"
|-
! Population <ref>http://www.ibge.gov.br/home/estatistica/populacao/estimativa2009/POP2009_DOU.pdf [[Brazilian Institute of Geography and Statistics|IBGE]] Population 2009 Feira Nova, page 32]</ref>
! [[GDP]] x(1000 R$).<ref>[http://www.ibge.com.br/home/estatistica/economia/pibmunicipios/2003_2007/tab01.pdf Feira Nova 2007 GDP IBGE pag 30] {{webarchive |url=https://web.archive.org/web/20160304001818/http://www.ibge.com.br/home/estatistica/economia/pibmunicipios/2003_2007/tab01.pdf |date=March 4, 2016 }}</ref>
! [[GDP per capita|GDP pc]] (R$)
! [[Pernambuco|PE]]
|-
| 20.052
| 53.257
| 2.763
| 0.09%
|-
|}
'''Economy by Sector'''
2006
{| class="wikitable" border="1"
|-
! [[Primary sector]] 
! [[Secondary sector]]
! [[Service sector]] 
|-
| 7.19%
| 10.66%
| 82.15%
|-
|}

===Health Indicators===
<ref>{{Cite web |url=http://www2.condepefidem.pe.gov.br/web/condepefidem |title=PE State site - City by city profile |access-date=2009-07-22 |archive-date=2009-08-04 |archive-url=https://web.archive.org/web/20090804002205/http://www2.condepefidem.pe.gov.br/web/condepefidem |url-status=dead }}</ref>
{| class="wikitable" border="1"
|-
! [[Human Development Index|HDI]] (2000)
! Hospitals (2007)
! Hospitals beds (2007)
! Children's Mortality every 1000 (2005)
|-
| 0.606
| 1
| 27
| 19.2 
|-
|}

== See also ==
* [[List of municipalities in Pernambuco]]

==References==
{{reflist}}

{{Municipalities of Pernambuco}}

[[Category:Municipalities in Pernambuco]]
